match_id,date,tournament,surface,best_of,round,player_a,player_b,winner,rank_a,rank_b,svpt_a,svpt_b,first_in_a,first_in_b,first_won_a,first_won_b,second_won_a,second_won_b,ace_a,ace_b,df_a,df_b,bp_saved_a,bp_saved_b,bp_faced_a,bp_faced_b
WTA:2024-800:273,2024-01-01,Brisbane,Hard,3,R32,Anna Karolina Schmiedlova,Veronika Kudermetova,B,73.0,16.0,47.0,44.0,28.0,30.0,19.0,26.0,7.0,9.0,1.0,12.0,2.0,2.0,3.0,0.0,7.0,0.0
WTA:2024-800:274,2024-01-01,Brisbane,Hard,3,R32,Liudmila Samsonova,Mirra Andreeva,B,15.0,58.0,49.0,44.0,21.0,27.0,15.0,21.0,7.0,10.0,4.0,2.0,7.0,3.0,2.0,2.0,7.0,2.0
WTA:2024-800:275,2024-01-01,Brisbane,Hard,3,R32,Sofia Kenin,Arina Rodionova,B,37.0,113.0,126.0,78.0,84.0,57.0,52.0,36.0,14.0,12.0,1.0,4.0,4.0,3.0,17.0,2.0,21.0,5.0
WTA:2024-800:276,2024-01-01,Brisbane,Hard,3,R32,Linda Noskova,Sorana Cirstea,A,40.0,26.0,130.0,100.0,83.0,67.0,55.0,43.0,25.0,20.0,8.0,10.0,4.0,1.0,11.0,5.0,13.0,8.0
WTA:2024-800:277,2024-01-01,Brisbane,Hard,3,R32,Ekaterina Alexandrova,Julia Riera,B,21.0,137.0,52.0,75.0,29.0,45.0,23.0,32.0,8.0,14.0,0.0,4.0,6.0,2.0,4.0,8.0,7.0,9.0
WTA:2024-800:278,2024-01-01,Brisbane,Hard,3,R32,Victoria Azarenka,Anna Kalinskaya,A,23.0,80.0,83.0,76.0,45.0,51.0,33.0,28.0,17.0,11.0,4.0,2.0,2.0,3.0,5.0,7.0,7.0,11.0
WTA:2024-800:279,2024-01-01,Brisbane,Hard,3,R32,Clara Burel,Anhelina Kalinina,A,56.0,27.0,52.0,69.0,28.0,48.0,20.0,22.0,11.0,8.0,2.0,1.0,4.0,4.0,3.0,6.0,5.0,12.0
WTA:2024-800:280,2024-01-01,Brisbane,Hard,3,R32,Naomi Osaka,Karolina Pliskova,B,,39.0,97.0,104.0,64.0,68.0,52.0,58.0,15.0,13.0,14.0,16.0,2.0,11.0,0.0,10.0,2.0,12.0
WTA:2024-800:281,2024-01-01,Brisbane,Hard,3,R32,Jelena Ostapenko,Camila Giorgi,A,12.0,55.0,49.0,60.0,28.0,32.0,25.0,17.0,9.0,12.0,9.0,4.0,4.0,5.0,1.0,5.0,2.0,9.0
WTA:2024-800:282,2024-01-01,Brisbane,Hard,3,R32,Marta Kostyuk,Daria Kasatkina,B,38.0,18.0,74.0,51.0,45.0,28.0,26.0,21.0,9.0,10.0,3.0,0.0,4.0,5.0,7.0,0.0,12.0,2.0
WTA:2024-800:283,2024-01-01,Brisbane,Hard,3,R32,Cristina Bucsa,Magda Linette,B,61.0,22.0,71.0,51.0,42.0,34.0,27.0,28.0,13.0,9.0,1.0,4.0,0.0,0.0,9.0,0.0,13.0,1.0
WTA:2024-800:284,2024-01-01,Brisbane,Hard,3,R32,Danielle Collins,Lin Zhu,B,54.0,33.0,104.0,93.0,63.0,61.0,34.0,37.0,21.0,12.0,9.0,6.0,1.0,9.0,9.0,2.0,15.0,9.0
WTA:2024-800:285,2024-01-01,Brisbane,Hard,3,R32,Lucia Bronzetti,Aryna Sabalenka,B,52.0,2.0,32.0,44.0,14.0,25.0,9.0,20.0,6.0,13.0,3.0,8.0,3.0,1.0,1.0,1.0,5.0,1.0
WTA:2024-800:286,2024-01-01,Brisbane,Hard,3,R16,Elena Rybakina,Elise Mertens,A,4.0,30.0,42.0,42.0,34.0,28.0,27.0,13.0,4.0,4.0,4.0,3.0,0.0,1.0,1.0,10.0,1.0,15.0
WTA:2024-800:287,2024-01-01,Brisbane,Hard,3,R16,Veronika Kudermetova,Anastasia Potapova,B,16.0,28.0,124.0,113.0,81.0,75.0,52.0,50.0,20.0,22.0,9.0,4.0,1.0,4.0,10.0,4.0,15.0,7.0
WTA:2024-800:288,2024-01-01,Brisbane,Hard,3,R16,Arina Rodionova,Mirra Andreeva,B,113.0,58.0,46.0,40.0,34.0,23.0,18.0,22.0,2.0,8.0,1.0,2.0,4.0,1.0,7.0,1.0,12.0,1.0
WTA:2024-800:289,2024-01-01,Brisbane,Hard,3,R16,Julia Riera,Linda Noskova,B,137.0,40.0,108.0,88.0,75.0,55.0,42.0,37.0,14.0,18.0,6.0,2.0,2.0,4.0,11.0,4.0,19.0,7.0
WTA:2024-800:290,2024-01-01,Brisbane,Hard,3,R16,Clara Burel,Victoria Azarenka,B,56.0,23.0,51.0,69.0,34.0,56.0,20.0,41.0,7.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,5.0,5.0
